                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.83526,                0.59713,                 1.0342,                0.83548,                0.74358,                0.83685,                0.61632,                0.87249,                0.60993,                 1.0327,                0.00333,                0.00333,                0.00333
                      2,                0.84735,                0.61574,                 1.0389,                0.82762,                0.72785,                0.82421,                0.59894,                0.90784,                 0.6497,                 1.0584,              0.0064096,              0.0064096,              0.0064096
                      3,                0.89146,                0.67113,                 1.0578,                0.81334,                0.70233,                0.79399,                0.56239,                0.96595,                0.71582,                 1.0942,              0.0092354,              0.0092354,              0.0092354
                      4,                0.94424,                0.73822,                 1.0941,                0.82034,                0.69102,                0.78906,                0.55693,                 0.9813,                0.73368,                 1.1092,              0.0088577,              0.0088577,              0.0088577
                      5,                0.95469,                0.74726,                 1.0964,                0.80936,                0.70149,                0.79861,                0.56895,                0.95727,                0.70749,                 1.0934,              0.0088577,              0.0088577,              0.0088577
                      6,                0.95008,                0.74359,                 1.0978,                0.81911,                0.70966,                0.80467,                0.57517,                0.94749,                 0.6898,                 1.0869,              0.0084769,              0.0084769,              0.0084769
                      7,                0.94567,                0.73395,                 1.0926,                0.82377,                0.71059,                 0.8089,                0.58238,                0.93599,                0.67653,                 1.0705,              0.0080962,              0.0080962,              0.0080962
                      8,                0.93992,                0.72925,                   1.09,                0.83013,                0.71507,                0.81309,                 0.5883,                0.92177,                0.65771,                 1.0696,              0.0077154,              0.0077154,              0.0077154
                      9,                0.93223,                0.72013,                 1.0873,                 0.8313,                0.72061,                0.82002,                0.59382,                0.91142,                 0.6491,                 1.0562,              0.0073346,              0.0073346,              0.0073346
                     10,                 0.9274,                0.71547,                 1.0836,                0.82974,                0.72367,                0.82244,                0.59861,                0.90713,                 0.6376,                 1.0653,              0.0069538,              0.0069538,              0.0069538
                     11,                0.92054,                0.70533,                 1.0778,                0.83316,                0.72749,                0.82532,                0.60356,                0.89026,                0.63651,                  1.048,              0.0065731,              0.0065731,              0.0065731
                     12,                0.91486,                0.69887,                 1.0738,                0.83134,                0.73156,                0.82848,                 0.6055,                0.88595,                0.63015,                 1.0414,              0.0061923,              0.0061923,              0.0061923
                     13,                 0.9066,                0.68956,                 1.0698,                0.82626,                0.74093,                0.82959,                0.60733,                0.88524,                0.62195,                 1.0412,              0.0058115,              0.0058115,              0.0058115
                     14,                0.90268,                0.68201,                 1.0662,                0.83083,                0.73873,                0.83064,                0.60986,                0.88353,                0.61775,                 1.0378,              0.0054308,              0.0054308,              0.0054308
                     15,                0.89496,                0.67304,                 1.0616,                0.83006,                0.74241,                0.83254,                0.61294,                0.88096,                0.61425,                 1.0375,                0.00505,                0.00505,                0.00505
                     16,                0.89103,                0.66715,                 1.0614,                0.82157,                 0.7503,                0.83436,                0.61473,                0.87548,                0.60619,                 1.0351,              0.0046692,              0.0046692,              0.0046692
                     17,                0.90392,                0.65657,                 1.0632,                0.82579,                0.75126,                0.83588,                0.61613,                0.87223,                 0.6025,                 1.0339,              0.0042885,              0.0042885,              0.0042885
                     18,                0.89557,                0.64385,                 1.0556,                0.83936,                0.73861,                0.83627,                0.61694,                0.87189,                0.60165,                 1.0347,              0.0039077,              0.0039077,              0.0039077
                     19,                0.88812,                0.63425,                 1.0485,                0.84095,                0.73991,                0.83709,                0.61806,                0.86951,                0.59936,                 1.0343,              0.0035269,              0.0035269,              0.0035269
                     20,                0.87953,                0.62313,                 1.0448,                0.83912,                 0.7405,                0.83711,                0.61871,                0.86819,                0.59811,                  1.034,              0.0031462,              0.0031462,              0.0031462
                     21,                0.86781,                0.60751,                 1.0369,                0.83827,                0.74256,                0.83814,                 0.6193,                0.86765,                0.59687,                 1.0342,              0.0027654,              0.0027654,              0.0027654
                     22,                0.85825,                0.59417,                 1.0314,                0.83901,                0.74135,                0.83838,                0.61948,                0.86674,                0.59638,                 1.0335,              0.0023846,              0.0023846,              0.0023846
                     23,                 0.8473,                 0.5812,                 1.0244,                0.83635,                0.74502,                0.83813,                0.62031,                0.86627,                0.59616,                 1.0332,              0.0020038,              0.0020038,              0.0020038
                     24,                0.83544,                0.56803,                 1.0174,                0.83363,                0.74826,                0.83899,                0.62103,                0.86612,                0.59619,                 1.0325,              0.0016231,              0.0016231,              0.0016231
                     25,                0.82531,                0.55461,                 1.0133,                0.83415,                0.74858,                 0.8393,                0.62118,                 0.8654,                0.59619,                 1.0319,              0.0012423,              0.0012423,              0.0012423
                     26,                0.81632,                0.54161,                 1.0071,                  0.834,                0.75012,                0.84008,                0.62128,                0.86499,                0.59582,                 1.0313,             0.00086154,             0.00086154,             0.00086154
