                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.83621,                0.61075,                 1.0365,                 0.8317,                0.73731,                0.82935,                0.60873,                0.88625,                0.62719,                 1.0423,              0.0033329,              0.0033329,              0.0033329
                      2,                0.86083,                 0.6431,                 1.0479,                0.83447,                0.72503,                0.82182,                0.59742,                0.90556,                0.64696,                 1.0552,              0.0063363,              0.0063363,              0.0063363
                      3,                 0.9103,                0.71131,                 1.0756,                0.82042,                0.71745,                0.81265,                0.58716,                0.92121,                0.67539,                 1.0655,              0.0090096,              0.0090096,              0.0090096
                      4,                0.96709,                0.78226,                 1.1142,                  0.822,                0.71133,                0.81021,                0.58346,                0.92755,                 0.6841,                 1.0746,               0.008515,               0.008515,               0.008515
                      5,                0.97109,                0.78721,                 1.1174,                0.82925,                0.71588,                 0.8147,                0.58924,                0.91762,                0.66606,                 1.0639,               0.008515,               0.008515,               0.008515
                      6,                0.96413,                 0.7772,                 1.1125,                0.82669,                0.71924,                0.81826,                0.59219,                0.91159,                0.66004,                 1.0618,                0.00802,                0.00802,                0.00802
                      7,                0.95372,                 0.7642,                  1.106,                0.83278,                0.72117,                0.81924,                0.59829,                0.89916,                0.64911,                 1.0531,               0.007525,               0.007525,               0.007525
                      8,                0.94509,                0.75156,                 1.0992,                0.83145,                0.72209,                0.82179,                0.60069,                0.89217,                0.64356,                 1.0481,                0.00703,                0.00703,                0.00703
                      9,                0.94107,                 0.7449,                 1.0947,                0.82845,                0.72942,                 0.8253,                0.60478,                0.88755,                0.63589,                 1.0421,               0.006535,               0.006535,               0.006535
                     10,                0.92827,                0.73143,                 1.0887,                0.84077,                0.72107,                0.82653,                0.60629,                0.88539,                0.63178,                 1.0426,                0.00604,                0.00604,                0.00604
                     11,                0.94206,                0.71599,                 1.0906,                0.82569,                 0.7336,                0.82788,                0.60759,                 0.8819,                0.62912,                 1.0407,               0.005545,               0.005545,               0.005545
                     12,                 0.9333,                0.70169,                 1.0878,                0.83408,                0.72723,                 0.8276,                0.60746,                0.88129,                0.62749,                 1.0426,                0.00505,                0.00505,                0.00505
                     13,                0.91923,                0.68305,                 1.0781,                0.83132,                0.73007,                0.82729,                0.60834,                0.88077,                0.62646,                  1.042,               0.004555,               0.004555,               0.004555
                     14,                0.90916,                0.67013,                 1.0719,                0.82463,                0.73425,                0.82704,                  0.609,                0.88003,                0.62498,                 1.0423,                0.00406,                0.00406,                0.00406
                     15,                0.89734,                0.65642,                 1.0661,                0.82575,                0.73302,                0.82758,                0.61022,                0.87875,                0.62366,                 1.0417,               0.003565,               0.003565,               0.003565
                     16,                0.88195,                0.64034,                 1.0588,                0.82476,                0.73324,                0.82816,                0.61139,                0.87741,                0.62191,                 1.0417,                0.00307,                0.00307,                0.00307
                     17,                0.87161,                0.62289,                 1.0496,                0.82331,                0.73703,                0.82858,                0.61192,                0.87636,                0.62004,                 1.0412,               0.002575,               0.002575,               0.002575
                     18,                0.85668,                0.60486,                 1.0405,                0.82039,                0.73873,                0.82894,                0.61257,                0.87561,                0.61923,                 1.0409,                0.00208,                0.00208,                0.00208
                     19,                0.84463,                0.58561,                 1.0344,                0.81828,                0.73945,                0.82926,                0.61318,                0.87527,                0.61812,                 1.0411,               0.001585,               0.001585,               0.001585
                     20,                0.82833,                0.56828,                 1.0229,                0.82178,                0.73765,                 0.8293,                0.61397,                0.87469,                0.61775,                 1.0409,                0.00109,                0.00109,                0.00109
