                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.85375,                0.68213,                 1.0381,                0.82558,                0.71281,                0.81148,                0.58622,                0.91464,                0.67993,                 1.0594,                0.00333,                0.00333,                0.00333
                      2,                0.94086,                0.74097,                  1.088,                0.78216,                0.65432,                0.75071,                0.50974,                 1.0731,                0.84041,                 1.1667,               0.006251,               0.006251,               0.006251
                      3,                 1.0772,                0.90907,                 1.1719,                0.72078,                 0.5866,                0.66672,                0.42941,                 1.2091,                 1.0492,                 1.2593,              0.0087596,              0.0087596,              0.0087596
                      4,                 1.1224,                0.96199,                 1.2071,                 0.7795,                0.62358,                0.72583,                0.48176,                 1.1189,                0.89473,                 1.2088,              0.0081437,              0.0081437,              0.0081437
                      5,                 1.0782,                0.90192,                 1.1778,                0.78939,                0.66215,                0.75898,                0.52063,                 1.0288,                0.82499,                 1.1483,              0.0081437,              0.0081437,              0.0081437
                      6,                 1.0399,                0.85964,                 1.1567,                0.80732,                0.68024,                0.77878,                0.54338,                0.98718,                0.76314,                 1.1161,               0.007525,               0.007525,               0.007525
                      7,                 1.0748,                0.85877,                 1.1773,                0.81767,                0.67106,                0.77941,                0.54623,                 1.0003,                0.76137,                 1.1229,              0.0069063,              0.0069063,              0.0069063
                      8,                 1.0527,                0.82828,                 1.1638,                0.82117,                0.68939,                0.79223,                0.56157,                0.97243,                0.72444,                 1.1068,              0.0062875,              0.0062875,              0.0062875
                      9,                 1.0248,                0.80008,                 1.1448,                0.82103,                0.69658,                0.80011,                0.57217,                0.94938,                 0.7059,                 1.0894,              0.0056688,              0.0056688,              0.0056688
                     10,                 1.0025,                0.77166,                 1.1306,                0.83307,                0.70335,                0.80979,                0.58188,                0.93273,                0.68212,                 1.0773,                0.00505,                0.00505,                0.00505
                     11,                0.98406,                0.74699,                 1.1175,                0.82694,                0.71235,                0.81383,                0.58852,                0.91645,                0.66874,                 1.0684,              0.0044313,              0.0044313,              0.0044313
                     12,                0.96121,                0.72356,                 1.1037,                0.83907,                0.71254,                0.81894,                0.59621,                0.90147,                 0.6451,                 1.0573,              0.0038125,              0.0038125,              0.0038125
                     13,                0.94092,                0.69969,                 1.0902,                   0.84,                0.71792,                0.82176,                0.60045,                0.89619,                 0.6394,                 1.0534,              0.0031938,              0.0031938,              0.0031938
                     14,                0.92499,                0.67778,                 1.0761,                0.84021,                0.72015,                0.82516,                0.60406,                0.88952,                0.63108,                  1.047,               0.002575,               0.002575,               0.002575
                     15,                0.90455,                0.65412,                 1.0655,                0.84218,                0.72688,                0.82808,                0.60736,                0.88722,                0.62505,                 1.0458,              0.0019563,              0.0019563,              0.0019563
                     16,                0.88519,                0.63182,                 1.0554,                0.84607,                0.72577,                0.82951,                0.60872,                0.88487,                0.62238,                 1.0439,              0.0013375,              0.0013375,              0.0013375
